Word,Frequency
away.,8
LATE,8
doing,8
making,8
BONNO,8
Mozart),8
why,8
Majesty,8
carriage,8
writing,8
"Sire,",8
both,8
follow,8
No!,8
house,8
cannot,8
matter,8
servants,7
you're,7
house.,7
"now,",7
THEATRE,7
"this,",7
sit,7
SCHIKANEDER'S,7
already,7
money,7
reaches,7
wind,7
Yes?,7
enters,7
SERVANT,7
pay,7
brought,7
"son,",7
happy,7
bag,7
no!,7
marry,7
horse,7
Figaro,7
Because,7
conducting,7
Yes!,7
coming,7
side,7
tune,7
"well,",7
singers,7
candles,7
Music,7
Where,7
ARCO,7
husband,7
thought,7
immediately,7
Count,7
followed,7
GRAND,7
line,7
freed,7
"costume,",7
I?,7
so.,7
honour,7
yes!,7
one.,7
believe,7
After,7
PRIEST,7
six,7
bottle,7
until,7
"music,",7
stop,7
are.,7
"table,",7
left,7
musical,7
himself,7
dead.,7
far,7
begins.,7
idea.,7
"Strack,",7
fast,7
day,7
giggles,7
Composer.,7
Leporello,7
Signore.,7
always,7
Stanzi!,7
breaks,7
poor,7
lying,7
Through,7
real,7
actress,6
pulls,6
those,6
Let's,6
swear,6
WOMAN,6
rest,6
becomes,6
face.,6
Papa.,6
UGLY,6
brilliant,6
delighted.,6
almost,6
place,6
forever,6
giggle.,6
perfect,6
"course,",6
"Look,",6
finger,6
Welcome,6
reveal,6
guests,6
opens.,6
private,6
carrying,6
Oh!,6
knock,6
DAWN,6
dog,6
"Swieten,",6
Instantly,6
King,6
theatre,6
kill,6
beyond,6
bedroom,6
black,6
say?,6
German.,6
woman,6
OFFICER,6
child,6
"morning,",6
you've,6
Father.,6
may,6
"wig,",6
Immediately,6
everything,6
upon,6
Constanze.,6
Majesty!,6
part,6
against,6
pile,6
chair,6
seated,6
matter?,6
herself,6
straight,6
"say,",6
yet,6
here?,6
please,6
"Wolfi,",6
wish,6
Vogler,6
work.,6
Behold!,6
us.,6
asked,6
kind,6
what?,6
Please,6
Isn't,6
remember,6
understand,6
world,6
done,6
eyes.,6
Madame.,6
couples,6
D,6
"right,",6
wall,6
taking,6
No.,6
because,6
"chair,",6
Magic,6
Wolfi.,6
someone,6
Leopold's,6
portfolio,6
camera,6
Minor,6
wait,6
bearing,6
"horse,",6
"one,",6
ma'am.,6
stops.,6
outside,6
OUTSIDE,6
floor,6
STAGE,6
quickly,6
street,6
Shut,6
costume,6
AN,6
Where?,6
louder.,6
pretty,6
isn't,5
"same,",5
stairs.,5
care,5
applause,5
"night,",5
From,5
half,5
writes,5
live,5
"Cavalieri,",5
day.,5
"Papa,",5
did.,5
wear,5
wish.,5
least,5
curtains,5
well,5
salon.,5
window,5
girls,5
movement,5
people.,5
Or,5
listen,5
sounds,5
Signore!,5
backwards.,5
score,5
afraid,5
mouth,5
menacing,5
wears,5
says,5
"Please,",5
stand,5
grey,5
silly,5
famous,5
swells,5
measures,5
lady,5
several,5
bow.,5
one?,5
These,5
Concerto,5
amidst,5
become,5
empty,5
We'll,5
cakes,5
"mean,",5
waiting.,5
"measure,",5
Commendatore,5
Schlumberg,5
watched,5
sugared,5
"Lorl,",5
she's,5
growing,5
"them,",5
calls,5
wildly.,5
C,5
"drunk,",5
forward,5
actresses,5
tasty,5
anxious,5
bedroom.,5
Second,5
box.,5
exactly,5
unable,5
eat,5
mine.,5
Before,5
laughter.,5
beg,5
"there,",5
heard.,5
asleep,5
grand,5
right.,5
candlestick,5
ghost,5
pushes,5
Exactly.,5
portrait,5
aria,5
slow,5
water,5
liked,5
Everybody,5
"desk,",5
Hey!,5
you'd,5
mean?,5
gesture,5
clothes,5
ensemble,5
Frau,5
Weber.,5
approaches,5
"Then,",5
THREE,5
kiss,5
name!,5
manuscript.,5
Papageno's,5
following,5
"Orsini-Rosenberg,",5
forte-piano.,5
snatches,5
Act,5
lays,5
holds,5
raises,5
stupid,5
want?,5
Was,5
appear,5
THIRD,5
near,5
Pause.,5
SECOND,5
company,5
Kill,5
"away,",5
that!,5
"box,",5
act,5
well.,5
watch,5
Also,5
"down,",5
God's,5
soon,5
Em,5
"suddenly,",5
We're,5
Honour,5
scale,5
mine,5
page,5
moment.,5
highly,5
smiling,5
billiard,5
"back,",5
faces,5
coins,5
noise,5
stop.,5
"know,",5
seats,5
else,5
saying,5
aren't,5
pot.,5
Turkish,5
met,5
sets,5
rising,5
"forte-piano,",5
rides,5
use,5
"bed,",5
parody,5
amongst,5
sing,5
nods,5
reading,5
Take,5
chord.,5
Majesty?,5
playing.,5
bassoon,5
trombone,5
God.,5
now!,5
singing),5
high,5
five,5
"gentlemen,",5
Excellency.,5
"Grazie,",4
Wolfi?,4
Right,4
here!,4
"said,",4
Overture,4
sounds.,4
Tutti,4
night,4
Never,4
mother,4
Amen!,4
needs,4
more.,4
"march,",4
sat,4
good.,4
extends,4
chords,4
giggles.,4
pleased,4
"Chamberlain,",4
Behind,4
important,4
Imperial,4
remain,4
enters.,4
a-cri-bus,4
frightened,4
cries,4
they're,4
greatest,4
"Good,",4
"all,",4
son.,4
"her,",4
salon,4
etc.,4
wouldn't,4
BUFFET,4
along,4
marches,4
glares,4
said.,4
dwarves,4
STUDY,4
"audience,",4
horse's,4
tray,4
together,4
bow,4
Which,4
piece.,4
crosses,4
dressing,4
"before,",4
too.,4
cloth,4
Too,4
Salieri!,4
Ich,4
morning.,4
shop,4
true,4
total,4
choose,4
SOPRANO,4
sick,4
Ba-ba!,4
ballet,4
further,4
enter,4
Snow,4
servant.,4
Der,4
vocal,4
Director,4
"is,",4
Mochte,4
plates,4
Kaiser,4
coat,4
lyrical,4
cloak,4
horse.,4
wooden,4
orchestra,4
Archbishop's,4
stare,4
Sopranos,4
howls,4
thou,4
"hand,",4
other.,4
maid,4
"see,",4
wig.,4
Ottavio,4
following:,4
tears.,4
break,4
among,4
sleep,4
comes.,4
Fraulein,4
complete,4
street.,4
what's,4
inside,4
written,4
drops,4
Princess,4
steps,4
Down,4
filled,4
proper,4
wants,4
times.,4
fantastic,4
hundred,4
see?,4
Lorl),4
disappears,4
"standing,",4
throng,4
"Composer,",4
horse),4
Karl,4
Flute.,4
"so,",4
MORNING,4
pale,4
smile,4
pupils,4
lifts,4
cross.,4
"himself,",4
walk,4
"backwards,",4
MUSIC,4
stupid.,4
hard.,4
light,4
harpsichord,4
gilded,4
fact,4
understand.,4
"notes,",4
four,4
conducting.,4
big,4
porter,4
Marriage,4
gold,4
"Weber,",4
note,4
Seraglio.,4
dish.,4
Up,4
promise,4
Bonno.,4
"opera,",4
third,4
water.,4
Wolfi,4
yours.,4
bars,4
addresses,4
