Word,Frequency
"ARCHIVE,",7
"down,",7
reading,7
time.,7
"Okay,",7
crying.,7
being,7
always,7
bleeding,7
An,7
1204,7
BUILDING,7
everything,7
isn't,7
Velvet,7
eat,7
do.,7
remember,7
pick,7
someone,7
quaint,7
"Hello,",7
HOTEL,7
"face,",7
whatever,7
CLEVELAND,7
food,6
thing,6
hanging,6
open.,6
line,6
"sits,",6
whole,6
we're,6
mask.,6
"way,",6
days,6
alone.,6
car...,6
DIARY,6
reason,6
fingers,6
dining,6
police,6
same,6
Welles),6
"time,",6
SHOP,6
For,6
"man,",6
found,6
GIRL,6
try,6
BANK,6
HOLLYWOOD,6
shoot,6
DOOR,6
"behind,",6
her...,6
"house,",6
"hair,",6
she's,6
"pocket,",6
thick,6
FADE,6
director,6
MORNING,6
out...,6
arrow,6
anyone,6
garage,6
leaves,6
pages,6
DEALER,6
studies,6
passes,6
hold,6
free,6
wall.,6
tape,6
counter,6
gun...,6
Show,6
digs,6
dead.,6
camera,6
door...,6
drags,6
BROOKLYN,6
over.,6
wanted,6
BLACK:,6
"ground,",6
seated,6
said,6
wearing,6
right?,6
SLAMS,6
Man's,6
each,6
binoculars.,6
doors,6
works,6
love,6
leading,6
"know,",6
HIGHWAY,6
except,6
"hall,",6
letting,6
there.,6
We're,6
live,6
pretty,6
tiny,6
"No,",6
"turns,",6
parks,6
side,6
picture,6
leave,6
RINGING...,6
They're,6
hope,6
watching.,6
written,6
along,6
"Yes,",6
SALESPERSON,6
Ford,6
running,6
again.,6
parents,6
go.,6
something.,6
us,6
use,6
finally,6
Eddie.,6
watch,6
MANHATTAN,6
seat,6
while,5
gave,5
Max.,5
miss,5
Two,5
FRAME,5
"one,",5
"TV,",5
"wheel,",5
moving,5
hang,5
white,5
tears.,5
four,5
hard,5
deep,5
way.,5
mean,5
points,5
Take,5
PHOTOS,5
"Longdale,",5
SOUND,5
checks,5
"feet,",5
"drawer,",5
seems,5
CITYSCAPE,5
"Dino,",5
As,5
BASEMENT,5
sort,5
Missing,5
covers,5
naked,5
stay,5
rolls,5
reasons,5
mask,5
"wall,",5
"corner,",5
better,5
couldn't,5
picture.,5
"money,",5
"here,",5
SECOND,5
piece,5
bag,5
"hands,",5
brought,5
law,5
horrible,5
buy,5
"book,",5
PROJECTOR,5
keys,5
"stomach,",5
asleep,5
"open,",5
metal,5
SWINGS,5
those,5
BEACH,5
TONE,5
red,5
part,5
torn,5
That,5
"Mathews,",5
HOMELESS,5
headlights,5
used,5
"sorry,",5
smoking,5
plastic,5
target.,5
stock,5
All,5
Put,5
boxes,5
suitcase,5
cellular,5
hotel,5
"them,",5
TV.,5
dumps,5
street,5
places,5
AIRPORT,5
called,5
Thank,5
parked,5
chair,5
seat.,5
broken,5
"Yeah,",5
years,5
missing,5
hired,5
alright?,5
pull,5
using,5
several,5
Is,5
DIARY.,5
"counter,",5
low,5
KICKS,5
okay.,5
passenger,5
card,5
putting,5
dollars,5
million,5
this?,5
-In,5
Another,5
presses,5
Yes.,5
On,5
Longdale.,5
"pages,",5
why,5
S+M,5
one.,5
touches,5
"slowly,",5
TO:,5
DISSOLVE,5
stuff,5
again,5
"light,",5
!,5
start,5
things,5
on...,5
Cindy.,5
backing,5
Eddie...,5
MRS.,5
"frame,",5
Mister,5
TV:,5
"Then,",5
"drives,",5
8TH,4
feet.,4
HARRISBURG,4
"now,",4
is.,4
"cheap,",4
Nothing,4
bloody,4
CAB,4
DRIVER,4
well,4
Films,4
Other,4
"aside,",4
returns,4
"WAREHOUSE,",4
"nods,",4
"warehouse,",4
middle,4
throat.,4
knew,4
warehouse...,4
feet,4
safe,4
breaks,4
"knife,",4
top,4
"""Celebrity",4
almost,4
building.,4
reads),4
"look,",4
closed.,4
(as,4
basement,4
chain,4
shaking,4
TWO,4
"empty,",4
aren't,4
feeling,4
asking,4
stays,4
ceiling.,4
smoking.,4
mirror.,4
(looks,4
plain,4
half,4
man.,4
leans,4
filled,4
carrying,4
day.,4
bottom,4
shelves,4
Hard,4
city.,4
BOOKS,4
COPY,4
walls.,4
FILMS,4
image,4
MAN'S,4
ear.,4
crooked,4
tied,4
standing,4
"alone,",4
Yes...,4
right,4
AGENT,4
happened.,4
HUNDREDS,4
feeds,4
"right,",4
break,4
PERSON,4
drawer.,4
nice,4
foot,4
New,4
came,4
feel,4
shoves,4
shopping,4
place.,4
"notepad,",4
shirt,4
"arrives,",4
THREE,4
"Max,",4
piles,4
away...,4
know?,4
FOLLOW,4
bad,4
unfolds,4
HOSTEL,4
FRONT,4
lock,4
No...,4
hardcore,4
ahead,4
YOUTH,4
"ahead,",4
"hill,",4
parks.,4
ramshackle,4
wrong,4
may,4
ask,4
room...,4
bound,4
legal,4
did.,4
arrows,4
"MACHINE,",4
lowers,4
BOWIE,4
ten,4
week.,4
suddenly,4
BOOKSTORE,4
seeing,4
FAYETTEVILLE,4
answer,4
slumped,4
TABLE,4
catches,4
You'll,4
least,4
name,4
parking,4
arm,4
murder,4
first,4
These,4
could.,4
watched,4
aims,4
"lot,",4
yourself,4
"BANK,",4
"CAR,",4
movie,4
MUSIC,4
projector,4
are.,4
LED,4
Hello...,4
further,4
headphones),4
"PHONE,",4
"old,",4
Have,4
"coffee,",4
forest,4
People,4
CELLULAR,4
"cigarette,",4
us.,4
PUBLIC,4
"sheets,",4
wiping,4
"honey,",4
you've,4
follows.,4
saying,4
WRESTLING,4
"dark,",4
cuts,4
IMAGE,4
falling,4
face...,4
"Please,",4
fast,4
"Oh,",4
can.,4
enters.,4
OLD,4
run,4
eating,4
phone...,4
searches,4
labeled,4
Welles?,4
pay,4
drawer,4
wish,4
ANGRY,4
"photos,",4
tosses,4
"through,",4
bed...,4
LIBRARY,4
without,4
return,4
dark.,4
corner,4
waits,4
MALE,4
having,4
"Cindy,",4
"kitchen,",4
quiet.,4
wraps,4
heard,4
lifts,4
Those,4
Of,4
follows,4
address.,4
double,4
lit,4
First,4
breathing,4
daughter,4
school,4
"day,",4
Tell,4
MARY,4
mouth.,4
At,4
paper,4
motel,4
counting,4
feels,4
girl.,4
huh?,4
Guide,4
lots,4
bends,4
help,4
all.,4
writing,4
cigarette.,4
shut.,4
THUG,4
show,4
CHRISTIAN'S,4
talk,4
door's,4
"sidewalk,",4
help.,4
terrible,4
mind,4
we'll,4
pornography.,4
home,4
pockets,4
bedside,4
FRAME...,4
finger,4
ADULT,4
following,4
reads,4
diving,4
stop,4
Republican,4
dragging,4
trunk,4
piled,4
Young,4
sign,4
year,4
for?,4
PHONE.,4
number,4
Mary's,4
knees,4
husband's,4
"are,",4
"throat,",4
crossing,4
wipes,4
"arms,",4
already,4
LAUNDRY,4
thought,4
am,4
mostly,4
leads,4
POLITICIAN,4
friends,4
"cabinets,",4
"ago,",4
stairs...,4
lot,4
happy,4
floor...,4
ACROSS,4
step,4
such,4
kisses,4
hole,4
"page,",4
about?,4
end,4
Dino.,4
state,4
mouth,4
himself.,3
glove,3
digging,3
pages.,3
GUN,3
else.,3
yet.,3
neck.,3
police.,3
ago...,3
Thirty,3
PICTURES,3
hands.,3
BOULEVARD,3
held,3
garage.,3
"mouth,",3
grey,3
FREEWAY,3
deal,3
massive,3
You've,3
CLOSE,3
grip,3
decaying,3
paid,3
TRAFFIC,3
thumb.,3
mine.,3
hard.,3
page,3
save,3
flipping,3
"off,",3
throwing,3
wants,3
Did,3
"sink,",3
pink,3
cash,3
sent,3
HANGING,3
"""Mary",3
"past,",3
ticket.,3
MICROFICHE,3
"paces,",3
happen,3
Any,3
asking.,3
rather,3
"compartment,",3
flips,3
coffee,3
TORN,3
PAGE,3
ONE,3
"shoulder,",3
KNIFE,3
distance,3
children,3
"center,",3
"silverware,",3
"BOX,",3
Call,3
"Alright,",3
bullet,3
able,3
FIRES...,3
so.,3
driveway.,3
Okay.,3
photo,3
tomorrow.,3
MISSING...,3
yourself.,3
"Behind,",3
photos,3
Shelves,3
ARCHIVE,3
anymore.,3
etc.,3
Center,3
worse.,3
date,3
Gonna,3
haven't,3
knees.,3
Maybe,3
blank,3
days.,3
"And,",3
computer,3
less,3
(points,3
clear,3
hear.,3
dinner,3
"side,",3
What?,3
Tears,3
roll,3
"place,",3
easy,3
no...,3
either.,3
"drawers,",3
they're,3
friend,3
Wouldn't,3
moving.,3
pass,3
"say,",3
maybe,3
"call,",3
knocks,3
follow,3
struggles,3
"ceiling,",3
penlight,3
hear,3
Secretaries,3
CARD,3
weren't,3
"falls,",3
couple,3
lying,3
doctor,3
looked,3
TV,3
"doors,",3
leaves.,3
forward.,3
eat.,3
pocket.,3
coffee.,3
SUITCASE,3
car's,3
hiding,3
ago.,3
brown,3
"top,",3
sweating,3
traffic.,3
races,3
false,3
City,3
am.,3
LA,3
BIG,3
ANGELES,3
pry,3
distance.,3
drinking,3
Tom...,3
rear,3
nobody,3
considers,3
ahead.,3
